instruction,input,output
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama (seleksi universitas) di GEMASTIK?,,Ketua tim yang lolos tahap pertama (seleksi universitas) di GEMASTIK mendapatkan 15 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan setiap anggota tim yang lolos tahap pertama (seleksi universitas) di GEMASTIK?,,Setiap anggota tim yang lolos tahap pertama (seleksi universitas) di GEMASTIK mendapatkan 12 poin sebagai bentuk apresiasi atas kontribusi mereka dalam tim.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (babak final) di GEMASTIK?,,Ketua tim yang lolos tahap kedua (babak final) di GEMASTIK mendapatkan 40 poin sebagai pengakuan atas pencapaian mereka dalam kompetisi.
Berapa poin yang didapatkan setiap anggota tim yang lolos tahap kedua (babak final) di GEMASTIK?,,Setiap anggota tim yang lolos tahap kedua (babak final) di GEMASTIK mendapatkan 37 poin karena telah berhasil mencapai babak final bersama timnya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara I di GEMASTIK?,,Ketua tim yang mendapatkan juara I di GEMASTIK mendapatkan 120 poin sebagai penghargaan atas pencapaian tertinggi dalam kompetisi.
Berapa poin yang didapatkan setiap anggota tim yang mendapatkan juara I di GEMASTIK?,,Setiap anggota tim yang mendapatkan juara I di GEMASTIK mendapatkan 100 poin sebagai bentuk apresiasi atas kemenangan mereka.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara II di GEMASTIK?,,Ketua tim yang mendapatkan juara II di GEMASTIK mendapatkan 100 poin karena berhasil mencapai posisi kedua dalam kompetisi.
Berapa poin yang didapatkan setiap anggota tim yang mendapatkan juara II di GEMASTIK?,,Setiap anggota tim yang mendapatkan juara II di GEMASTIK mendapatkan 85 poin sebagai bentuk apresiasi atas pencapaian mereka.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara III di GEMASTIK?,, Ketua tim yang mendapatkan juara III di GEMASTIK mendapatkan 85 poin karena berhasil meraih posisi ketiga dalam kompetisi.
Berapa poin yang didapatkan setiap anggota tim yang mendapatkan juara III di GEMASTIK?,,Setiap anggota tim yang mendapatkan juara III di GEMASTIK mendapatkan 70 poin sebagai bentuk penghargaan atas pencapaian mereka.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama (tingkat Regional) di KRI?,,Ketua tim yang lolos tahap pertama (tingkat Regional) di KRI mendapatkan 15 poin sebagai bentuk apresiasi atas keberhasilannya.
Berapa poin yang didapatkan setiap anggota tim yang lolos tahap pertama (tingkat Regional) di KRI?,,Setiap anggota tim yang lolos tahap pertama (tingkat Regional) di KRI mendapatkan 12 poin sebagai pengakuan atas kontribusi mereka.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (tingkat Nasional) di KRI?,,Ketua tim yang lolos tahap kedua (tingkat Nasional) di KRI mendapatkan 40 poin karena berhasil mencapai tahap nasional.
Berapa poin yang didapatkan setiap anggota tim yang lolos tahap kedua (tingkat Nasional) di KRI?,,Mahasiswa yang lolos tahap kedua (tingkat Nasional) di KRI mendapatkan 37 poin sebagai bentuk apresiasi atas kontribusi mereka.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara I di KRI tingkat Regional?,,Ketua tim yang mendapatkan juara I di KRI tingkat Regional mendapatkan 70 poin sebagai penghargaan atas kemenangan mereka di tingkat regional.
Berapa poin yang didapatkan setiap anggota tim yang mendapatkan juara I di KRI tingkat Regional?,,Setiap anggota tim yang mendapatkan juara I di KRI tingkat Regional mendapatkan 60 poin karena telah berkontribusi dalam kemenangan tim.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara II di KRI tingkat Regional?,,Ketua tim yang mendapatkan juara II di KRI tingkat Regional mendapatkan 60 poin sebagai bentuk apresiasi atas pencapaian mereka.
Berapa poin yang didapatkan setiap anggota tim yang mendapatkan juara II di KRI tingkat Regional?,,Setiap anggota tim yang mendapatkan juara II di KRI tingkat Regional mendapatkan 50 poin sebagai pengakuan atas usaha mereka.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara III di KRI tingkat Regional?,,Ketua tim yang mendapatkan juara III di KRI tingkat Regional mendapatkan 50 poin sebagai bentuk penghargaan atas pencapaian mereka.
Berapa poin yang didapatkan setiap anggota tim yang mendapatkan juara III di KRI tingkat Regional?,,Setiap anggota tim yang mendapatkan juara III di KRI tingkat Regional mendapatkan 40 poin karena telah berkontribusi dalam pencapaian tim.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama (seleksi universitas) di LIDM?,,Ketua tim yang lolos tahap pertama (seleksi universitas) di LIDM mendapatkan 15 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama (seleksi universitas) di LIDM?,,Anggota tim yang lolos tahap pertama (seleksi universitas) di LIDM mendapatkan 12 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan ketua tim yang lolos ke tingkat nasional di LIDM?,,Ketua tim yang lolos ke tingkat nasional di LIDM mendapatkan 40 poin sebagai bentuk penghargaan atas pencapaiannya.
Berapa poin yang didapatkan anggota tim yang lolos ke tingkat nasional di LIDM?,,Anggota tim yang lolos ke tingkat nasional di LIDM mendapatkan 37 poin sebagai bentuk penghargaan atas pencapaiannya.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara I di LIDM tingkat nasional?,,Ketua tim yang mendapatkan juara I di LIDM tingkat nasional mendapatkan 70 poin sebagai bentuk penghargaan atas prestasi tertingginya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara I di LIDM tingkat nasional?,,Anggota tim yang mendapatkan juara I di LIDM tingkat nasional mendapatkan 60 poin sebagai bentuk penghargaan atas kontribusinya dalam pencapaian tim.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara II di LIDM tingkat nasional?,,Ketua tim yang mendapatkan juara II di LIDM tingkat nasional mendapatkan 60 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara II di LIDM tingkat nasional?,,Anggota tim yang mendapatkan juara II di LIDM tingkat nasional mendapatkan 50 poin sebagai bentuk penghargaan atas kontribusinya dalam pencapaian tim.
Berapa poin yang didapatkan ketua tim yang mendapatkan juara III di LIDM tingkat nasional?,,Ketua tim yang mendapatkan juara III di LIDM tingkat nasional mendapatkan 50 poin sebagai bentuk penghargaan atas prestasinya.
Berapa poin yang didapatkan anggota tim yang mendapatkan juara III di LIDM tingkat nasional?,,Anggota tim yang mendapatkan juara III di LIDM tingkat nasional mendapatkan 40 poin sebagai bentuk penghargaan atas kontribusinya dalam pencapaian tim.
Apa bukti pencapaian yang diperlukan dalam ajang LIDM?,,Bukti pencapaian dalam ajang LIDM adalah sertifikat penghargaan sebagai juara.
Berapa poin yang didapatkan mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di PILMAPRES?,,Mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di PILMAPRES mendapatkan 20 poin sebagai penghargaan.
Berapa poin yang didapatkan mahasiswa yang lolos tahap kedua (Tingkat Universitas) di PILMAPRES?,,Mahasiswa yang lolos tahap kedua (Tingkat Universitas) di PILMAPRES mendapatkan 40 poin sebagai penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara I tingkat regional/wilayah di PILMAPRES?,,Mahasiswa yang menjadi juara I di PILMAPRES tingkat regional/wilayah mendapatkan 85 poin sebagai bentuk apresiasi.
